Factor Id,Factor Name
336120, Aerospace Products Manufacturing (Aircraft Engines/Parts)
623311, Aged/Disabled Persons Homes Residential Care Services 
111199, All Other Grain Farming
811121, Automotive Repair Shops General Maintenance Automotive Repair Services 
311230, Bakery Product Manufacturing
522110, Banks/Credit Unions Financial Services 
445120, Beverage Stores Retailing (Food/Beverages Sales)
311810, Bread and Bakery Product Manufacturing
312120, Breweries
485113, Bus Transportation Services for Urban Transit Systems 
515120, Cable Television Broadcasting 
524126, Casualty Insurance Carriers 
327310, Cement Manufacturing (Construction Materials)
541330, Civil Engineering Services 
561720, Cleaning Services for Buildings/Dwellings 
611310, Colleges/Universities Education Services 
236220, Commercial Building Construction
212230, Copper Ore Mining
111150, Corn Farming
492210, Courier Services 
211120, Crude Petroleum Extraction
112120, Dairy Cattle and Milk Production
722511, Dining Establishments Full-Service Restaurants Food/Beverages Sales 
312140, Distilleries
111130, Dry Pea and Bean Farming
221110, Electric Power Generation
423820, Farm Equipment Wholesalers (Agriculture Equipment Distribution)
333120, Farm Machinery Manufacturing (Agriculture Equipment)
325180, Fertilizer Manufacturing (Agricultural Chemicals)
313210, Fiber Yarn Manufacturing
453930, Flea Markets Retailing (Miscellaneous Merchandise Sales)
316210, Foam Product Manufacturing (Rubber/Plastic)
113210, Forest Nurseries and Gathering of Forest Products
488510, Freight Forwarding Services 
311710, Frozen Food Manufacturing
447190, Fuel Dealers Retailing (Gasoline Stations)
921190, Government Administration General Public Administration  
424410, Grocery Wholesalers (Food Distribution)
237310, Highway and Street Construction
332510, Hinges/Locks Manufacturing (Hardware Products)
112210, Hog and Pig Farming
621111, Hospitals General Medical/Surgical Care 
114210, Hunting and Trapping
325120, Industrial Gas Manufacturing (Chemicals)
331110, Iron and Steel Mills (Metal Products)
212210, Iron Ore Mining
315240, Knit Apparel Manufacturing
326130, Laminated Plastics Plate/Sheet Manufacturing (Plastics)
335110, Lamp Bulb Manufacturing (Lighting Products)
812930, Laundry/Dry Cleaning Services Personal Care Services  
519130, Libraries/Archives Management 
721110, Lodging Facilities Hotels/Motels Operations Recreation/Tourism 
113310, Logging
484121, Mixed Freight Trucking Services (Logistics/Trucking Services)
512110, Motion Picture Production 
221120, Natural Gas Distribution
211130, Natural Gas Extraction
486210, Natural Gas Pipeline Transportation Services 
712190, Nature Parks/Wildlife Preserves Management Recreation/Tourism 
441110, New Car Dealers (Automotive Sales/Services)
622310, Nursing Care Facilities Residential Care Services 
111120, Oilseed (except Soybean) Farming
111191, Oilseed and Grain Combination Farming
111219, Other Vegetable (except Potato) and Melon Farming
324110, Paving Materials Manufacturing (Petroleum Refining)
523930, Pension Fund Management 
238220, Plumbing and HVAC Contractors
111211, Potato Farming
112310, Poultry and Egg Production
238110, Poured Concrete Foundation Contractors
323110, Printing Services (Commercial Printing)
322110, Pulp Mills (Paper Products)
334220, Radiotelephone Communications Equipment Manufacturing (Electronics)
482112, Rail Transportation Services (Logistics/Railways)
531210, Rental Housing Property Management 
532120, Rental of Trucks/Trailers Without Drivers 
813211, Retail Trade Associations Management Professional Organizations  
111160, Rice Farming
212320, Sand and Gravel Mining
517410, Satellite Telecommunications 
321113, Sawmills (Wood Products)
481112, Scheduled Freight Air Transportation Services (Logistics/Aviation)
511210, Software Publishers 
111110, Soybean Farming
451110, Sporting Goods Stores Retailing (Recreational Goods Sales)
711211, Sports Teams/Clubs Operations Entertainment/Recreation 
212310, Stone Mining and Quarrying
311340, Sugar Manufacturing
115210, Support Activities for Animal Production
115110, Support Activities for Crop Production
213110, Support Activities for Mining
541511, System Design Services for Computer Programming 
518210, System Hosting/Data Processing Services 
314910, Tent Tarp and Canvas Mills Manufacturing
113110, Timber Tract Operations
339910, Toy/Game/Children's Vehicle Manufacturing (Recreational Goods)
491110, U.S. Postal Service Operations 
337121, Upholstered Household Furniture Manufacturing (Furniture)
452210, Warehouse Clubs/Superstores Retailing (General Merchandise Sales)
493120, Warehousing/Storage Facilities 
237110, Water and Sewer Line Construction
221310, Water Supply and Irrigation Systems
111140, Wheat Farming
312130, Wineries
