,Subcategory,Subcategory 2,Supplier,Organization,Sectors,Factor Id,Factor Name
0,Packaging,Printed Packaging,Hung Tung,,,,
1,Resin,PP (Polypropylene),LyondellBasell,LyondellBasell,Chemicals & Plastics,,
2,Packaging,Master Carton,Grand Yick,Grand Yick,Packaging Solutions,,
3,Packaging,Flexible Packaging,Kai Cheng,,,,
4,Packaging,Blister Pack,Hang Sang Chong,,,,
5,Resin,PVC (Polyvinyl Chloride),Shin-Etsu Chemical,Shin-Etsu Chemical,Chemicals & Plastics,,
6,Resin,PE (Polyethylene),Dow Chemical,Dow Chemical,Chemicals & Plastics,,
7,Resin,PET (Polyethylene Terephthalate),Indorama Ventures,Indorama Ventures Public Company Limited,Chemicals & Plastics,,
8,Electronics,Circuit Boards,Samsung Electronics,Samsung Electronics,Electronics,,
9,Electronics,Batteries,LithiumWerks,LithiumWerks,Energy Storage,,
10,Textiles,Cotton Fabric,Kai Hing Textile,Kai Hing Textile,Textiles,,
11,Textiles,Wool Fabric,Woolmark Company,Woolmark Company,Textiles,,
12,Textiles,Synthetic Fabric,Toray Industries,Toray Industries,Textiles,,
13,Furniture,Wooden Chairs,IKEA,IKEA,Furniture,,
14,Furniture,Upholstered Sofas,Ashley Furniture Industries,Ashley Furniture Industries,Furniture,337121.0,Upholstered Household Furniture Manufacturing (Furniture)
15,Furniture,Metal Tables,Herman Miller,Herman Miller,Furniture,,
16,Automotive,Tires,Michelin,Michelin,Automotive,,
17,Automotive,Batteries,Exide Technologies,Exide Technologies,Automotive,,
18,Automotive,Engine Parts,Bosch Automotive Solutions,Bosch Automotive Solutions,Automotive,,
19,Automotive,Glass Components,Saint-Gobain Sekurit,Saint-Gobain Sekurit,Automotive,,
20,Food Products,Dairy Products,Fonterra Co-operative Group,Fonterra Co-operative Group,Food & Beverage,,
21,Food Products,Beverages,Coca-Cola Company,Coca-Cola Company,Food & Beverage,,
22,Food Products,Frozen Foods,Nestlé S.A.,Nestlé S.A.,Food & Beverage,311710.0,Frozen Food Manufacturing
23,Food Products,Bakery Items,Kraft Heinz Company,Kraft Heinz Company,Food & Beverage,311230.0,Bakery Product Manufacturing
24,Pharmaceuticals,Vaccines,Pfizer Inc.,Pfizer Inc.,Pharmaceuticals,,
25,Pharmaceuticals,Medical Devices,Medtronic PLC,Medtronic PLC,Pharmaceuticals,,
26,Pharmaceuticals,Pain Relievers,GSK (GlaxoSmithKline),GSK (GlaxoSmithKline),Pharmaceuticals,,
27,Pharmaceuticals,Vitamins,Bayer AG,Bayer AG,Pharmaceuticals,,
28,Construction Materials,Cement,LafargeHolcim Ltd.,LafargeHolcim Ltd.,Construction Materials,327310.0,Cement Manufacturing (Construction Materials)
29,Construction Materials,Steel Sheets,Tata Steel Limited,Tata Steel Limited,Construction Materials,,
